comment_id,video_title,author,comment,date,sentiment
UgxcAjCnmJ4r96df2Bh4AaABAg,Ahsoka | Teaser Trailer | Disney+,FM zigzag,this why mario better not be anything but mario bros star war became trash since try be something other then starwars,2023-04-23,negative
UgxvVMNihEXLKUEHikN4AaABAg,Obi-Wan Kenobi | Official Trailer | Disney+,Scott Mantle,this series is terrible whoever wrote the story line should get a job in walmart where they might be able to do a proper job because writing definitely isn't one of their talent if they do a second season they should get somebody who can write story and dialogue and possibly some actor who can you know act,2023-02-28,positive
UgxTxwPQq5ZjRgDVfAN4AaABAg,Star Wars: The Force Awakens Trailer (Official),Tabari Enoch,for me the music in this had me in tear remind me of the first trilogy,2023-03-19,neutral
UgzokscjPkto3nv9XJZ4AaABAg,Andor | Official Trailer | Disney+,Vincent Valentine,i destroyed a planet i let the starship crew of ussdiscovery witness it,2023-01-11,negative
UgzwqtAEeDdUOJQw7cR4AaABAg,Andor | Official Trailer | Disney+,richard johnson,do you know why the hero of andor is a man because a woke a is disney had the hero been a woman she would have won the war and destroyed the empire in and a half hour,2022-09-23,positive
UgzZP7dKbYAsmLCiJ_d4AaABAg,Star Wars Eclipse – Official Cinematic Reveal Trailer,Rogue HeavenX,wow thats a stunning trailer hard to tell difference between cgi and reality,2023-04-22,positive
UgxAvZfVdcnCb7tbAYV4AaABAg,Star Wars Episode III: Revenge of the Sith - Trailer,Collin D,this is a good trailer but it literally spoil the entire movie,2022-12-23,positive
UgyyB1_JT3BXvxWjqAF4AaABAg,Andor | Official Trailer | Disney+,Stephen Rother,wow disney ha outdone itself with all the new star war series i wa disappointed when i heard disney bought star war totally unfounded i don't think it could be in better hand thanks disney,2022-09-28,positive
UgwectG6x7wTI1oPPPd4AaABAg,Ahsoka | Teaser Trailer | Disney+,Gothiczartan,is ahsoka set up in the event during or after the mandalorian it wa to be after the event from the book of boba fett for ahsoka tano to get ready for her show to start in august,2023-04-24,positive
Ugzt-N-Nrx_qpASCrcl4AaABAg,Star Wars Episode I: The Phantom Menace - Trailer,‘90sNickfan,the skywalker saga anakin skywalker's downfall episode i: the phantom menace episode ii: attack of the clone episode iii: revenge of the sith darth vader's redemption episode iv: a new hope episode v: the empire strike back episode vi: return of the jedi,2023-01-09,negative
UgyWVjUuFykdTaDuY554AaABAg,Ahsoka | Teaser Trailer | Disney+,Grant Newlands,thrawn is my all time favourite sw character they better not ruin him ha i hope that timothy zahn wa a direct contributer to this series,2023-04-24,positive
UgxAxEOVUhhC66vgmF94AaABAg,Obi-Wan Kenobi | Official Trailer | Disney+,Vincent Valentine,i have not been where people thought i wa and contact falcon lombardi of starfox,2023-01-09,neutral
Ugy-EabIyaGJQlXFVRZ4AaABAg,Obi-Wan Kenobi | Official Trailer | Disney+,Vincent Valentine,the engine ha to be in the front the droid army wa to send ship to usa and yavin signed count dooku sir ian,2023-01-09,positive
UgwlE8IW-_BByT-FQxZ4AaABAg,Andor | Official Trailer | Disney+,FractalPrism,it nice when the talented people aren't hamstrung by some kind of kathleen kennedy,2022-10-13,positive
UgyMunq6oJHFdBoJbmt4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,BBQMan87,that final music arrangement may just be the best thing ever provided by the new trilogy,2023-02-13,positive
UgwK0yNTQPTUmtHHtZ14AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Hella Coorinna,when rey looked back at her undefeated army of all-woman jedi master and whispered for canto bight horse and charged bravely at the all-white army of straight men from second order i cried truly what a war-ending life-saving movie,2023-04-11,positive
